MunicipalityNumber,MunicipalityName,Einfamhaus,Mehrfamhaus,GebOhneNutzung,Uebrige
1,Aeugst am Albis,21,8,5,65
2,Affoltern am Albis,14,9,4,72
3,Bonstetten,11,10,4,76
4,Hausen am Albis,32,13,4,51
5,Hedingen,15,13,5,66
6,Kappel am Albis,24,14,5,57
7,Knonau,28,9,5,59
8,Maschwanden,13,16,0,71
9,Mettmenstetten,12,12,6,70
10,Obfelden,19,17,7,58
11,Ottenbach,18,9,4,70
12,Rifferswil,15,11,4,69
13,Stallikon,2,25,6,67
14,Wettswil am Albis,17,5,4,74
21,Adlikon,21,23,3,54
22,Benken (ZH),29,26,1,44
23,Berg am Irchel,14,19,5,62
24,Buch am Irchel,17,12,0,71
25,Dachsen,16,14,5,65
26,Dorf,23,18,3,55
27,Feuerthalen,7,17,12,65
28,Flaach,24,19,2,55
29,Flurlingen,8,12,7,73
30,Andelfingen,19,13,5,63
31,Henggart,28,24,1,47
32,Humlikon,12,10,2,76
33,Kleinandelfingen,16,14,7,63
34,Laufen-Uhwiesen,9,12,6,72
35,Marthalen,26,17,6,50
37,Ossingen,25,20,3,52
38,Rheinau,14,8,6,72
39,Thalheim an der Thur,18,24,1,57
40,Trüllikon,13,18,6,63
41,Truttikon,27,15,2,57
43,Volken,26,15,3,56
51,Bachenbülach,9,13,7,71
52,Bassersdorf,9,7,4,79
53,Bülach,13,13,5,69
54,Dietlikon,7,8,7,78
55,Eglisau,21,9,5,65
56,Embrach,17,12,3,68
57,Freienstein-Teufen,17,13,8,62
58,Glattfelden,20,11,5,64
59,Hochfelden,14,11,9,65
60,Höri,11,8,5,76
61,Hüntwangen,11,10,3,76
62,Kloten,11,11,4,73
63,Lufingen,14,13,4,69
64,Nürensdorf,17,13,6,64
65,Oberembrach,26,17,1,56
66,Opfikon,3,23,5,69
67,Rafz,22,8,4,66
68,Rorbas,10,7,5,78
69,Wallisellen,3,10,6,81
70,Wasterkingen,19,13,2,66
71,Wil (ZH),20,11,4,65
72,Winkel,26,6,2,66
81,Bachs,18,18,5,59
82,Boppelsen,18,5,5,72
83,Buchs (ZH),12,9,7,72
84,Dällikon,6,4,7,84
85,Dänikon,22,10,10,57
86,Dielsdorf,11,8,4,77
87,Hüttikon,19,12,1,68
88,Neerach,17,14,3,66
89,Niederglatt,11,8,2,78
90,Niederhasli,12,10,3,75
91,Niederweningen,19,10,2,68
92,Oberglatt,59,5,2,34
93,Oberweningen,12,11,5,72
94,Otelfingen,18,15,6,61
95,Regensberg,7,9,12,72
96,Regensdorf,40,6,3,51
97,Rümlang,4,9,5,82
98,Schleinikon,13,13,3,70
99,Schöfflisdorf,6,14,2,77
100,Stadel,19,12,4,65
101,Steinmaur,17,15,7,61
102,Weiach,20,21,3,56
111,Bäretswil,17,17,7,60
112,Bubikon,14,7,5,74
113,Dürnten,7,11,5,77
114,Fischenthal,52,19,2,28
115,Gossau (ZH),15,13,9,64
116,Grüningen,19,14,4,64
117,Hinwil,14,13,5,68
118,Rüti (ZH),13,12,6,69
119,Seegräben,7,7,6,79
120,Wald (ZH),32,12,4,52
121,Wetzikon (ZH),7,11,6,76
131,Adliswil,6,7,17,69
135,Kilchberg (ZH),4,17,5,73
136,Langnau am Albis,10,9,3,78
137,Oberrieden,9,8,5,79
138,Richterswil,14,12,3,70
139,Rüschlikon,10,10,4,76
141,Thalwil,4,10,3,83
151,Erlenbach (ZH),2,8,5,85
152,Herrliberg,7,8,3,81
153,Hombrechtikon,16,9,6,69
154,Küsnacht (ZH),3,9,5,84
155,Männedorf,5,10,7,78
156,Meilen,6,11,5,77
157,Oetwil am See,7,10,4,79
158,Stäfa,9,11,6,74
159,Uetikon am See,7,7,5,82
160,Zumikon,4,8,5,83
161,Zollikon,1,25,14,60
172,Fehraltorf,18,12,5,65
173,Hittnau,10,12,7,72
176,Lindau,17,8,5,71
177,Pfäffikon,13,9,8,70
178,Russikon,16,9,2,73
180,Weisslingen,20,13,5,62
181,Wila,19,11,6,64
182,Wildberg,17,11,7,65
191,Dübendorf,1,24,11,63
192,Egg,11,13,5,71
193,Fällanden,8,8,5,79
194,Greifensee,11,13,11,65
195,Maur,7,8,4,81
196,Mönchaltorf,13,11,5,72
197,Schwerzenbach,6,12,9,72
198,Uster,16,11,8,65
199,Volketswil,23,7,7,63
200,Wangen-Brüttisellen,11,9,6,74
211,Altikon,11,17,4,69
213,Brütten,8,7,6,80
214,Dägerlen,10,15,2,73
215,Dättlikon,21,7,4,68
216,Dinhard,16,16,6,62
218,Ellikon an der Thur,26,13,3,58
219,Elsau,14,10,6,71
220,Hagenbuch,12,15,7,66
221,Hettlingen,14,12,4,69
223,Neftenbach,11,9,4,75
224,Pfungen,23,12,4,61
225,Rickenbach (ZH),15,12,4,69
226,Schlatt (ZH),33,22,4,41
227,Seuzach,6,14,9,70
228,Turbenthal,24,10,4,61
230,Winterthur,12,12,5,71
231,Zell (ZH),14,15,3,69
241,Aesch (ZH),8,14,4,75
242,Birmensdorf (ZH),11,7,5,77
243,Dietikon,14,9,5,72
244,Geroldswil,12,9,7,72
245,Oberengstringen,2,15,8,75
246,Oetwil an der Limmat,66,2,2,30
247,Schlieren,3,15,7,76
248,Uitikon,0,38,7,54
249,Unterengstringen,12,15,8,65
250,Urdorf,12,7,7,74
251,Weiningen (ZH),8,6,4,82
261,Zürich,12,9,7,72
292,Stammheim,3,15,4,78
293,Wädenswil,14,13,6,68
294,Elgg,5,11,6,78
295,Horgen,9,13,8,70
296,Illnau-Effretikon,9,10,4,77
297,Bauma,27,16,4,53
298,Wiesendangen,8,9,4,79
301,Aarberg,17,24,7,52
302,Bargen (BE),37,16,10,38
303,Grossaffoltern,27,21,5,47
304,Kallnach,21,23,5,51
305,Kappelen,17,11,11,62
306,Lyss,21,23,7,49
307,Meikirch,23,24,3,50
309,Radelfingen,29,26,4,41
310,Rapperswil (BE),29,22,4,46
311,Schüpfen,19,17,4,59
312,Seedorf (BE),29,16,7,48
321,Aarwangen,31,8,6,55
322,Auswil,20,23,7,50
323,Bannwil,31,14,6,50
324,Bleienbach,27,23,4,47
325,Busswil bei Melchnau,18,22,11,49
326,Gondiswil,34,49,2,15
329,Langenthal,27,11,6,56
331,Lotzwil,17,15,7,60
332,Madiswil,21,25,5,49
333,Melchnau,29,26,7,38
334,Obersteckholz,22,22,2,54
335,Oeschenbach,32,52,0,15
336,Reisiswil,33,38,4,26
337,Roggwil (BE),18,10,5,67
338,Rohrbach,24,34,6,36
339,Rohrbachgraben,15,24,10,52
340,Rütschelen,17,17,7,59
341,Schwarzhäusern,21,14,12,53
342,Thunstetten,25,9,5,61
344,Ursenbach,25,38,5,32
345,Wynau,20,11,2,67
351,Bern,18,14,5,63
352,Bolligen,12,17,4,66
353,Bremgarten bei Bern,12,15,12,62
354,Kirchlindach,20,16,3,61
355,Köniz,10,15,20,56
356,Muri bei Bern,15,8,6,72
357,Oberbalm,24,33,4,39
358,Stettlen,33,15,2,50
359,Vechigen,14,21,5,61
360,Wohlen bei Bern,19,16,9,55
361,Zollikofen,41,11,4,44
362,Ittigen,16,11,7,65
363,Ostermundigen,18,7,9,66
371,Biel/Bienne,10,12,7,72
372,Evilard,9,16,12,62
381,Arch,20,21,5,54
382,Büetigen,25,16,4,54
383,Büren an der Aare,17,17,4,62
385,Diessbach bei Büren,19,20,4,56
386,Dotzigen,14,24,11,52
387,Lengnau (BE),10,8,8,74
388,Leuzigen,24,20,5,50
389,Meienried,39,47,0,14
390,Meinisberg,17,11,2,70
391,Oberwil bei Büren,18,24,3,55
392,Pieterlen,12,12,8,69
393,Rüti bei Büren,22,22,2,54
394,Wengi,22,25,5,48
401,Aefligen,14,9,10,67
402,Alchenstorf,54,15,7,24
403,Bäriswil,21,29,2,47
404,Burgdorf,60,13,4,23
405,Ersigen,19,15,4,62
406,Hasle bei Burgdorf,37,28,2,32
407,Heimiswil,71,18,2,8
408,Hellsau,70,10,1,19
409,Hindelbank,23,18,5,54
410,Höchstetten,25,12,1,62
411,Kernenried,26,20,5,50
412,Kirchberg (BE),13,12,11,64
413,Koppigen,25,25,2,47
414,Krauchthal,33,28,3,36
415,Lyssach,20,10,7,63
416,Mötschwil,15,24,5,56
418,Oberburg,20,13,5,62
420,Rüdtligen-Alchenflüh,15,21,11,53
421,Rumendingen,36,16,3,45
422,Rüti bei Lyssach,25,23,2,50
423,Willadingen,20,19,7,54
424,Wynigen,74,17,1,8
431,Corgémont,18,12,13,56
432,Cormoret,30,12,5,52
433,Cortébert,24,16,4,56
434,Courtelary,34,14,5,47
435,La Ferrière,48,32,5,15
437,Mont-Tramelan,31,19,8,42
438,Orvin,29,11,7,53
441,Renan (BE),33,14,4,49
442,Romont (BE),14,14,5,68
443,Saint-Imier,24,10,6,61
444,Sonceboz-Sombeval,21,10,5,64
445,Sonvilier,26,14,9,51
446,Tramelan,33,14,4,49
448,Villeret,22,17,13,48
449,Sauge,34,7,5,55
450,Péry-La Heutte,32,10,8,50
491,Brüttelen,33,30,3,34
492,Erlach,29,15,10,46
493,Finsterhennen,43,22,2,33
494,Gals,25,12,7,56
495,Gampelen,24,16,4,56
496,Ins,38,17,4,41
497,Lüscherz,34,9,6,51
498,Müntschemier,21,21,7,50
499,Siselen,26,33,3,37
500,Treiten,26,35,4,36
501,Tschugg,29,20,10,41
502,Vinelz,30,19,10,41
533,Bätterkinden,28,16,4,52
