MunicipalityNumber,MunicipalityName,Canton,Country,Scenario1,Scenario2,Scenario3,Scenario4
1,Aeugst am Albis,Zürich,CH,13.43,8.7,18.06,13.33
2,Affoltern am Albis,Zürich,CH,50.06,33.83,69.25,53.02
3,Bonstetten,Zürich,CH,19.66,11.48,26.72,18.54
4,Hausen am Albis,Zürich,CH,23.67,15.7,32.61,24.64
5,Hedingen,Zürich,CH,19.14,11.97,25.68,18.51
6,Kappel am Albis,Zürich,CH,9.47,6.5,12.45,9.48
7,Knonau,Zürich,CH,13.18,9.13,17.83,13.78
8,Maschwanden,Zürich,CH,6.12,4.12,7.94,5.94
9,Mettmenstetten,Zürich,CH,30.41,21.05,41.17,31.81
10,Obfelden,Zürich,CH,24.82,14.98,34.26,24.42
11,Ottenbach,Zürich,CH,15.96,9.71,21.53,15.28
12,Rifferswil,Zürich,CH,9.55,6.96,12.52,9.93
13,Stallikon,Zürich,CH,16.73,9.13,22.02,14.42
14,Wettswil am Albis,Zürich,CH,19.45,11.22,26.06,17.83
21,Adlikon,Zürich,CH,7.06,4.88,9.21,7.03
22,Benken (ZH),Zürich,CH,8.9,5.98,11.1,8.18
23,Berg am Irchel,Zürich,CH,6.1,3.88,7.67,5.45
24,Buch am Irchel,Zürich,CH,9.65,6.65,12.4,9.4
25,Dachsen,Zürich,CH,10.66,5.98,13.98,9.3
26,Dorf,Zürich,CH,5.12,3.2,6.72,4.8
27,Feuerthalen,Zürich,CH,15.51,9.15,21.41,15.05
28,Flaach,Zürich,CH,12.91,8.38,16.39,11.86
29,Flurlingen,Zürich,CH,8.85,5.26,10.93,7.34
30,Andelfingen,Zürich,CH,16.54,10.81,21.11,15.38
31,Henggart,Zürich,CH,10.54,5.95,14.29,9.7
32,Humlikon,Zürich,CH,4.04,2.48,5.21,3.65
33,Kleinandelfingen,Zürich,CH,16.5,9.94,22.32,15.76
34,Laufen-Uhwiesen,Zürich,CH,11.35,6.21,15.04,9.9
35,Marthalen,Zürich,CH,22.02,14.08,28.09,20.15
37,Ossingen,Zürich,CH,16.18,11.48,20.53,15.83
38,Rheinau,Zürich,CH,12.05,7.24,15.9,11.09
39,Thalheim an der Thur,Zürich,CH,8.94,6.09,11.52,8.67
40,Trüllikon,Zürich,CH,11.37,7.58,14.6,10.81
41,Truttikon,Zürich,CH,4.98,3.43,6.77,5.22
43,Volken,Zürich,CH,3.3,2.21,4.26,3.17
51,Bachenbülach,Zürich,CH,20.79,14.81,26.29,20.31
52,Bassersdorf,Zürich,CH,37.67,23.68,53.39,39.4
53,Bülach,Zürich,CH,70.63,49.49,94.33,73.19
54,Dietlikon,Zürich,CH,38.14,27.49,49.78,39.13
55,Eglisau,Zürich,CH,23.49,14.83,31.3,22.64
56,Embrach,Zürich,CH,45.23,32.3,57.34,44.41
57,Freienstein-Teufen,Zürich,CH,11.57,6.25,15.91,10.59
58,Glattfelden,Zürich,CH,21.15,12.18,28.69,19.72
59,Hochfelden,Zürich,CH,9.85,6.51,12.63,9.29
60,Höri,Zürich,CH,14.91,10.64,19.6,15.33
61,Hüntwangen,Zürich,CH,8.3,5.11,10.97,7.78
62,Kloten,Zürich,CH,113.84,92.26,141.9,120.32
63,Lufingen,Zürich,CH,9.88,6.04,13.15,9.31
64,Nürensdorf,Zürich,CH,30.35,19.62,40.3,29.57
65,Oberembrach,Zürich,CH,10.21,6.95,13.3,10.04
66,Opfikon,Zürich,CH,50.91,35.27,71.46,55.82
67,Rafz,Zürich,CH,29.73,20.66,38.62,29.55
68,Rorbas,Zürich,CH,10.02,5.56,13.38,8.92
69,Wallisellen,Zürich,CH,61.57,40.12,82.58,61.13
70,Wasterkingen,Zürich,CH,3.98,2.37,4.99,3.38
71,Wil (ZH),Zürich,CH,13.59,9.05,17.67,13.13
72,Winkel,Zürich,CH,19.91,12.64,26.24,18.97
81,Bachs,Zürich,CH,6.92,4.81,8.76,6.65
82,Boppelsen,Zürich,CH,8.46,5.16,10.89,7.59
83,Buchs (ZH),Zürich,CH,33.08,25.05,43.47,35.44
84,Dällikon,Zürich,CH,24.21,18.91,31.25,25.95
85,Dänikon,Zürich,CH,7.52,4.54,10.05,7.07
86,Dielsdorf,Zürich,CH,33.18,23.68,43.44,33.94
87,Hüttikon,Zürich,CH,3.74,2.23,4.96,3.45
88,Neerach,Zürich,CH,16.6,9.4,21.99,14.79
89,Niederglatt,Zürich,CH,19.21,11.77,26.14,18.7
90,Niederhasli,Zürich,CH,39.68,27.9,52.73,40.95
91,Niederweningen,Zürich,CH,16.29,9.67,21.67,15.05
92,Oberglatt,Zürich,CH,23.12,15.83,31.98,24.69
93,Oberweningen,Zürich,CH,8.46,5.18,11.49,8.21
94,Otelfingen,Zürich,CH,29.4,23.93,35.83,30.36
95,Regensberg,Zürich,CH,2.24,1.03,2.75,1.54
96,Regensdorf,Zürich,CH,87.36,65.52,114.31,92.47
97,Rümlang,Zürich,CH,48.9,38.3,62.33,51.73
98,Schleinikon,Zürich,CH,5.81,3.86,7.59,5.64
