MunicipalityNumber,MunicipalityName,Canton,Country,Scenario1,Scenario3
1,Aeugst am Albis,Zürich,CH,13.43,18.06
2,Affoltern am Albis,Zürich,CH,50.06,69.25
3,Bonstetten,Zürich,CH,19.66,26.72
4,Hausen am Albis,Zürich,CH,23.67,32.61
5,Hedingen,Zürich,CH,19.14,25.68
6,Kappel am Albis,Zürich,CH,9.47,12.45
7,Knonau,Zürich,CH,13.18,17.83
8,Maschwanden,Zürich,CH,6.12,7.94
9,Mettmenstetten,Zürich,CH,30.41,41.17
10,Obfelden,Zürich,CH,24.82,34.26
11,Ottenbach,Zürich,CH,15.96,21.53
12,Rifferswil,Zürich,CH,9.55,12.52
13,Stallikon,Zürich,CH,16.73,22.02
14,Wettswil am Albis,Zürich,CH,19.45,26.06
21,Adlikon,Zürich,CH,7.06,9.21
22,Benken (ZH),Zürich,CH,8.9,11.1
23,Berg am Irchel,Zürich,CH,6.1,7.67
24,Buch am Irchel,Zürich,CH,9.65,12.4
25,Dachsen,Zürich,CH,10.66,13.98
26,Dorf,Zürich,CH,5.12,6.72
27,Feuerthalen,Zürich,CH,15.51,21.41
28,Flaach,Zürich,CH,12.91,16.39
29,Flurlingen,Zürich,CH,8.85,10.93
30,Andelfingen,Zürich,CH,16.54,21.11
31,Henggart,Zürich,CH,10.54,14.29
32,Humlikon,Zürich,CH,4.04,5.21
33,Kleinandelfingen,Zürich,CH,16.5,22.32
34,Laufen-Uhwiesen,Zürich,CH,11.35,15.04
35,Marthalen,Zürich,CH,22.02,28.09
37,Ossingen,Zürich,CH,16.18,20.53
38,Rheinau,Zürich,CH,12.05,15.9
39,Thalheim an der Thur,Zürich,CH,8.94,11.52
40,Trüllikon,Zürich,CH,11.37,14.6
41,Truttikon,Zürich,CH,4.98,6.77
43,Volken,Zürich,CH,3.3,4.26
51,Bachenbülach,Zürich,CH,20.79,26.29
52,Bassersdorf,Zürich,CH,37.67,53.39
53,Bülach,Zürich,CH,70.63,94.33
54,Dietlikon,Zürich,CH,38.14,49.78
55,Eglisau,Zürich,CH,23.49,31.3
56,Embrach,Zürich,CH,45.23,57.34
57,Freienstein-Teufen,Zürich,CH,11.57,15.91
58,Glattfelden,Zürich,CH,21.15,28.69
59,Hochfelden,Zürich,CH,9.85,12.63
60,Höri,Zürich,CH,14.91,19.6
61,Hüntwangen,Zürich,CH,8.3,10.97
62,Kloten,Zürich,CH,113.84,141.9
63,Lufingen,Zürich,CH,9.88,13.15
64,Nürensdorf,Zürich,CH,30.35,40.3
65,Oberembrach,Zürich,CH,10.21,13.3
66,Opfikon,Zürich,CH,50.91,71.46
67,Rafz,Zürich,CH,29.73,38.62
68,Rorbas,Zürich,CH,10.02,13.38
69,Wallisellen,Zürich,CH,61.57,82.58
70,Wasterkingen,Zürich,CH,3.98,4.99
71,Wil (ZH),Zürich,CH,13.59,17.67
72,Winkel,Zürich,CH,19.91,26.24
81,Bachs,Zürich,CH,6.92,8.76
82,Boppelsen,Zürich,CH,8.46,10.89
83,Buchs (ZH),Zürich,CH,33.08,43.47
84,Dällikon,Zürich,CH,24.21,31.25
85,Dänikon,Zürich,CH,7.52,10.05
86,Dielsdorf,Zürich,CH,33.18,43.44
87,Hüttikon,Zürich,CH,3.74,4.96
88,Neerach,Zürich,CH,16.6,21.99
89,Niederglatt,Zürich,CH,19.21,26.14
90,Niederhasli,Zürich,CH,39.68,52.73
91,Niederweningen,Zürich,CH,16.29,21.67
92,Oberglatt,Zürich,CH,23.12,31.98
93,Oberweningen,Zürich,CH,8.46,11.49
94,Otelfingen,Zürich,CH,29.4,35.83
95,Regensberg,Zürich,CH,2.24,2.75
96,Regensdorf,Zürich,CH,87.36,114.31
97,Rümlang,Zürich,CH,48.9,62.33
98,Schleinikon,Zürich,CH,5.81,7.59
99,Schöfflisdorf,Zürich,CH,7.93,10.36
100,Stadel,Zürich,CH,17.97,22.55
101,Steinmaur,Zürich,CH,21.28,27.75
